CID,pose_index,docking_score,num_viable_poses,rmsd_pairwise_std,rmsd_to_best_std,MWT,TPSA,logP,HBD,HBA,SMILES
Z3950664500,1,-9.497,6,0.38067556717766443,0.1988870175382513,348.4059999999998,76.14,4.819200000000003,2,5,[H]c1c([H])c(N([H])c2nc(C3([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1N([H])C(=O)OC([H])([H])C([H])([H])[H]
Z1646104587,1,-9.478,5,0.3293773691252748,0.2974220144979254,362.43299999999965,69.03999999999999,3.9139000000000026,1,5,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2OC([H])([H])c2nnc(C3([H])C([H])([H])C([H])([H])C3([H])[H])n2C([H])([H])[H])c([H])c1[H]
5329559,1,-9.454,6,0.3122673369966993,0.3722203997984315,375.83499999999975,75.72,4.848100000000002,2,5,[H]c1c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c(Cl)c1F
46927371,3,-9.453,5,0.2403679235341323,0.12636798371534133,408.50599999999963,88.19000000000001,3.953020000000002,2,7,[H]c1c([H])c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c(C([H])([H])[H])c1N([H])c1nc(OC2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc([H])n2[H]
Z1013695804,1,-9.448,7,0.4868603435346714,0.296400321289518,324.3629999999997,66.83000000000001,3.2928000000000015,1,6,[H]c1nc2nc(N([H])c3c([H])c([H])c(F)c([H])c3[H])nc(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2nc1[H]
76328458,1,-9.436,7,0.3497636650658923,0.3512393025180542,323.3999999999996,89.71,3.5612000000000013,2,5,[H]c1c([H])c([H])c(-c2nc3nc(N([H])[H])nc(OC([H])([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c3n2[H])c([H])c1[H]
Z16226176,1,-9.411,6,0.3130013712875284,0.29585332394981806,343.45599999999973,75.08,2.999200000000002,2,5,[H]c1c([H])c([H])c2c(c1[H])n([H])c1nnc(SC([H])([H])C(=O)N([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n21
5329565,1,-9.365,5,0.36420753228394936,0.3247123196773931,385.4929999999997,92.78999999999999,3.793000000000002,2,6,[H]c1c([H])c(S(=O)C([H])([H])[H])c([H])c([H])c1N([H])c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc([H])n2[H]
Z1657740785,1,-9.276,6,0.44443979811627937,0.33260914731606467,337.38699999999966,101.38,2.8207000000000004,2,6,[H]c1nc(-c2c([H])c([H])c([H])c(C(=O)N([H])c3nc([H])n(C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])n3)c2[H])n([H])n1
5329573,1,-9.208,6,0.32450951930215466,0.4700040038890122,362.4369999999996,99.50999999999999,4.121680000000002,2,6,[H]c1c([H])c(C([H])([H])C#N)c([H])c([H])c1N([H])c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc([H])n2[H]
