CID,pose_index,docking_score,rmsd_to_best_selected,MWT,TPSA,logP,HBD,HBA,SMILES
5329552,1,-9.68,0.0,402.29599999999976,75.72,4.818100000000003,2,5,[H]c1c([H])c(Br)c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c1[H]
Z645226424,1,-9.673,0.0,332.36699999999973,88.61,2.939,2,6,[H]c1nc(N([H])C([H])([H])c2c([H])c([H])c([H])c(OC([H])([H])c3nc([H])c([H])c([H])c3[H])c2[H])c2c(n1)nc([H])n2[H]
Z107740192,2,-9.665,0.8038069928084595,438.52799999999974,95.74000000000001,4.799680000000004,1,6,[H]c1c([H])c(S(=O)(=O)C([H])(C#N)c2nc3c([H])c([H])c([H])c([H])c3nc2N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1F
COLIG_2A6,1,-9.66,0.0,323.39999999999964,75.72,4.055600000000003,2,5,[H]c1c([H])c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c1[H]
Z94803042,4,-9.635,0.321697854715025,340.38599999999974,80.9,4.139300000000002,2,4,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z56974472,5,-9.633,1.2431913047204393,374.4919999999996,65.97,4.965940000000003,2,6,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])c2nc(N([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])[H])nc(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n2)c1[H]
Z1677967961,4,-9.62,1.236752262043511,366.39599999999973,79.9,4.042600000000003,2,4,[H]c1c([H])c([H])c(C(=O)N([H])c2nc(C3([H])C([H])([H])C([H])([H])C3([H])[H])n([H])n2)c(OC([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c1[H]
Z990898380,1,-9.616,0.0,314.38899999999967,86.88,2.1739999999999995,3,4,[H]c1c([H])c([H])c2c(=O)n([H])c(N([H])C([H])([H])C([H])([H])C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc2c1[H]
5329558,1,-9.605,0.0,341.3899999999997,75.72,4.194700000000002,2,5,[H]c1c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c([H])c1F
Z94803042,5,-9.579,1.1520724626983514,340.38599999999974,80.9,4.139300000000002,2,4,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
123658957,1,-9.574,0.0,376.84299999999973,76.97,4.2672000000000025,2,4,[H]c1c([H])c(N([H])c2nc3nc([H])n([H])c3c(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[n+]2[H])c([H])c(Cl)c1F
49863194,1,-9.572,0.0,280.3309999999997,63.690000000000005,3.3413000000000013,1,4,[H]c1nc(OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc(-c1c([H])c([H])c([H])c([H])c1[H])n2[H]
Z56890527,4,-9.568,1.2379737214731066,307.3569999999997,83.56,2.6439200000000005,2,5,[H]c1c([H])c([H])c2c(C([H])([H])[H])nc(N([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])nc2c1[H]
Z57110395,2,-9.566,1.1398345757572395,340.3619999999998,77.94,3.403900000000001,1,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)[O-])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z357964720,3,-9.563,1.3932410791823713,376.44099999999986,97.97,3.687800000000002,2,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
123953120,3,-9.55,1.412515301708746,342.3979999999997,76.97,3.613800000000002,2,4,[H]c1c([H])c(N([H])c2nc3nc([H])n([H])c3c(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[n+]2[H])c([H])c([H])c1F
Z57110395,3,-9.55,1.0616985582600778,340.3619999999998,77.94,3.403900000000001,1,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)[O-])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
5329558,2,-9.548,1.0379908427223195,341.3899999999997,75.72,4.194700000000002,2,5,[H]c1c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c([H])c1F
Z4521998795,2,-9.538,0.0,319.36399999999975,74.85,2.9113000000000007,2,3,[H]c1c([H])c([H])c(C2([H])C([H])(C(=O)N([H])c3c([H])c([H])c([H])c4c(=O)nc([H])n([H])c34)C2([H])C([H])([H])[H])c([H])c1[H]
Z56890527,5,-9.528,1.1620580958114723,307.3569999999997,83.56,2.6439200000000005,2,5,[H]c1c([H])c([H])c2c(C([H])([H])[H])nc(N([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])nc2c1[H]
Z1576583090,2,-9.502,0.7461054100561821,325.3719999999997,84.83,2.7216000000000005,2,6,[H]c1c([H])c(OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])c2nc3c(c([H])nn3C([H])([H])[H])c(=O)n2[H])c1[H]
Z3950664500,1,-9.497,0.0,348.4059999999998,76.14,4.819200000000003,2,5,[H]c1c([H])c(N([H])c2nc(C3([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1N([H])C(=O)OC([H])([H])C([H])([H])[H]
5329558,3,-9.495,1.4576360967617512,341.3899999999997,75.72,4.194700000000002,2,5,[H]c1c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c([H])c1F
Z357964720,4,-9.479,1.2853133543126805,376.44099999999986,97.97,3.687800000000002,2,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z1646104587,1,-9.478,0.0,362.43299999999965,69.03999999999999,3.9139000000000026,1,5,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2OC([H])([H])c2nnc(C3([H])C([H])([H])C([H])([H])C3([H])[H])n2C([H])([H])[H])c([H])c1[H]
Z357964720,5,-9.471,0.780655986215157,376.44099999999986,97.97,3.687800000000002,2,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
