CID,status,out_pdbqt,best_kcal_mol,error
Z1833516258,ok,docked_out_exh_32/Z1833516258_dock.pdbqt,,
Z166744674,ok,docked_out_exh_32/Z166744674_dock.pdbqt,,
Z168978470,ok,docked_out_exh_32/Z168978470_dock.pdbqt,,
Z1532981033,ok,docked_out_exh_32/Z1532981033_dock.pdbqt,,
Z1665619458,ok,docked_out_exh_32/Z1665619458_dock.pdbqt,,
Z1368316620,ok,docked_out_exh_32/Z1368316620_dock.pdbqt,,
Z1883550081,ok,docked_out_exh_32/Z1883550081_dock.pdbqt,,
Z1833218652,ok,docked_out_exh_32/Z1833218652_dock.pdbqt,,
Z1546707089,ok,docked_out_exh_32/Z1546707089_dock.pdbqt,,
Z1762067520,ok,docked_out_exh_32/Z1762067520_dock.pdbqt,,
Z1011080426,ok,docked_out_exh_32/Z1011080426_dock.pdbqt,,
Z195980060,ok,docked_out_exh_32/Z195980060_dock.pdbqt,,
Z1935637461,ok,docked_out_exh_32/Z1935637461_dock.pdbqt,,
Z107740192,ok,docked_out_exh_32/Z107740192_dock.pdbqt,,
Z1724269066,ok,docked_out_exh_32/Z1724269066_dock.pdbqt,,
Z1887562379,ok,docked_out_exh_32/Z1887562379_dock.pdbqt,,
Z16226228,ok,docked_out_exh_32/Z16226228_dock.pdbqt,,
Z1677967961,ok,docked_out_exh_32/Z1677967961_dock.pdbqt,,
Z196075054,ok,docked_out_exh_32/Z196075054_dock.pdbqt,,
Z1623900637,ok,docked_out_exh_32/Z1623900637_dock.pdbqt,,
Z2205184554,ok,docked_out_exh_32/Z2205184554_dock.pdbqt,,
Z1918494952,ok,docked_out_exh_32/Z1918494952_dock.pdbqt,,
Z1646104587,ok,docked_out_exh_32/Z1646104587_dock.pdbqt,,
Z2613622720,ok,docked_out_exh_32/Z2613622720_dock.pdbqt,,
Z216807044,ok,docked_out_exh_32/Z216807044_dock.pdbqt,,
Z1822975975,ok,docked_out_exh_32/Z1822975975_dock.pdbqt,,
Z196075810,ok,docked_out_exh_32/Z196075810_dock.pdbqt,,
Z2611810317,ok,docked_out_exh_32/Z2611810317_dock.pdbqt,,
Z2610310359,ok,docked_out_exh_32/Z2610310359_dock.pdbqt,,
Z2611593143,ok,docked_out_exh_32/Z2611593143_dock.pdbqt,,
Z2636563025,ok,docked_out_exh_32/Z2636563025_dock.pdbqt,,
Z196075274,ok,docked_out_exh_32/Z196075274_dock.pdbqt,,
Z2654643499,ok,docked_out_exh_32/Z2654643499_dock.pdbqt,,
Z1719484408,ok,docked_out_exh_32/Z1719484408_dock.pdbqt,,
Z2832196726,ok,docked_out_exh_32/Z2832196726_dock.pdbqt,,
Z2684222059,ok,docked_out_exh_32/Z2684222059_dock.pdbqt,,
Z1626892642,ok,docked_out_exh_32/Z1626892642_dock.pdbqt,,
Z24682220,ok,docked_out_exh_32/Z24682220_dock.pdbqt,,
Z24682342,ok,docked_out_exh_32/Z24682342_dock.pdbqt,,
Z2994634090,ok,docked_out_exh_32/Z2994634090_dock.pdbqt,,
Z3071631534,ok,docked_out_exh_32/Z3071631534_dock.pdbqt,,
Z195569274,ok,docked_out_exh_32/Z195569274_dock.pdbqt,,
Z30084948,ok,docked_out_exh_32/Z30084948_dock.pdbqt,,
Z2272335630,ok,docked_out_exh_32/Z2272335630_dock.pdbqt,,
Z25402869,ok,docked_out_exh_32/Z25402869_dock.pdbqt,,
Z2274813544,ok,docked_out_exh_32/Z2274813544_dock.pdbqt,,
Z28511349,ok,docked_out_exh_32/Z28511349_dock.pdbqt,,
